unvatrable	ənvætrəbəl
ruchontive	rəʧantɪv
exhauctive	ɪgzɔktɪv
pransitive	prænzətɪv
expecative	ɪkspkətɪv
tredictive	trɛdɪktɪv
gederative	gɛdɚətɪv
protrative	prowtrətɪv
submiative	səbmiətɪv
cuminitive	kjumɪnɪtɪv
submistive	səbmɪstɪv
euphitious	jufɪʃəs
indaminous	ɪndəmənəs
momogorous	mowməgɚəs
undicitous	ʌndɪsətəs
mystuorous	mɪstwɔɚəs
adupendous	æʤupɪndəs
honoderous	anadɚəs
malicinous	mælɪʧənəs
ralygerous	rælajʤɚəs
luticorous	lutikɚəs
liratonous	lrətownəs
eutrigeous	ʌtrɪgəs
suspibious	səspɪbiəs
trospurous	traspɚəs
vombageous	vambejʤəs
rebelorous	rɪbəlɚəs
faluminous	fælumənəs
iniragious	ɪnɪrejʤəs
prolacious	prowlaʃəs
aurtiguous	ɔɚtɪgəs
adodagious	ədowdaʤəs
lasavenous	lasejvənəs
meglarious	mɛglariəs
gropenious	growpiniəs
slaicitous	slejɪsətəs
anoninous	ənownənəs
eretulous	ɛɚəʧjələs
ravarious	rejvariəs
ligegious	lajʤiʤəs
poncorous	pankɚəs
hibeguous	hɪbgjus
pecacious	pɛkejʃəs
glamalous	gləmələs
insicious	ɪnsɪʃəs
glumonous	glumownəs
tefigious	tɛfɪʤəs
oblicious	əblɪʃəs
coivonous	kojvnəs
creninous	krɛnɪnəs
leamogous	liməgəs
nomeneous	nowməniəs
reamorous	rimɚəs
gluninous	glunənəs
fapturous	fæptɚəs
dexarious	dɪksariəs
dardulous	dardələs
vexuteous	vɛksjutiəs
cazardous	kazaɚdəs
plalorous	pləlɚəs
erenymous	ɚnəməs
